ax,ay,az,gx,gy,gz,label,sample_id
1.0505,0.2471,-0.2522,42.6718,-24.7023,-39.9924,0,0_0
1.0042,0.2356,-0.2766,42.3893,-18.5038,-38.8092,0,0_0
0.9441,0.2429,-0.2668,39.8473,-9.9313,-37.0382,0,0_0
0.9539,0.2869,-0.2295,37.8702,-5.0534,-35.9924,0,0_0
0.9485,0.2927,-0.2178,34.6489,-3.6947,-37.1221,0,0_0
0.9436,0.3071,-0.1819,33.3740,-2.0000,-39.7405,0,0_0
0.9387,0.3140,-0.1692,36.4275,-1.5038,-41.1069,0,0_0
0.9272,0.3250,-0.1816,43.3130,-2.3282,-37.6718,0,0_0
0.9497,0.3362,-0.2200,50.2519,-4.1374,-30.9008,0,0_0
0.9707,0.3381,-0.3025,53.4656,-5.0076,-22.8702,0,0_0
0.9980,0.3662,-0.3669,53.2214,-2.4809,-13.6183,0,0_0
1.0342,0.3618,-0.4534,50.8779,2.7557,-4.6565,0,0_0
1.0754,0.3718,-0.4978,45.8473,11.1679,1.4885,0,0_0
1.1223,0.3611,-0.5049,38.3893,18.8015,3.6641,0,0_0
1.1702,0.3511,-0.4785,27.2595,18.4962,1.8550,0,0_0
1.1528,0.3206,-0.4438,16.8015,11.9160,-2.0305,0,0_0
1.1128,0.3281,-0.3787,14.0458,5.5267,-5.4962,0,0_0
1.0684,0.3240,-0.3699,15.9618,0.0534,-5.2214,0,0_0
1.0706,0.2981,-0.3657,15.8855,-6.0611,-4.6565,0,0_0
1.0608,0.2778,-0.3586,14.6641,-11.0229,-8.2443,0,0_0
1.0171,0.2681,-0.3428,13.9618,-12.0992,-13.1527,0,0_0
0.9736,0.2544,-0.3210,14.0763,-10.9924,-17.7481,0,0_0
0.9216,0.2498,-0.3076,15.1069,-8.4962,-20.3282,0,0_0
0.8821,0.2451,-0.3232,15.8779,-6.3130,-20.1679,0,0_0
0.8281,0.2336,-0.3220,14.7710,-4.8855,-17.3740,0,0_0
0.8049,0.2271,-0.2998,12.1756,-3.1374,-11.9466,0,0_0
0.7949,0.2314,-0.2830,9.5573,-1.0458,-5.8092,0,0_0
0.7925,0.2615,-0.2456,9.7328,2.3282,0.1908,0,0_0
0.8071,0.2585,-0.2388,11.3511,4.6260,6.1832,0,0_0
0.8345,0.2976,-0.2393,12.9084,4.3969,11.4733,0,0_0
0.8755,0.3093,-0.2485,13.7023,-0.2214,16.6870,0,0_0
0.9050,0.3076,-0.2671,13.1145,-6.1756,21.2672,0,0_0
0.9414,0.3145,-0.2869,13.8473,-9.0611,24.5191,0,0_0
0.9932,0.3081,-0.2959,13.0687,-9.8168,24.6336,0,0_0
1.0298,0.2922,-0.3064,10.4046,-10.6794,20.8779,0,0_0
1.0217,0.2788,-0.2913,7.6870,-10.8931,16.1069,0,0_0
1.0266,0.2725,-0.2810,6.4962,-10.2137,12.8473,0,0_0
1.0208,0.2649,-0.2551,7.6565,-9.1374,11.8702,0,0_0
1.0359,0.2573,-0.2271,10.7176,-8.6183,11.2977,0,0_0
1.0630,0.2637,-0.2053,14.2290,-8.6260,10.1374,0,0_0
1.0710,0.2673,-0.2317,19.5420,-7.6641,7.5344,0,0_0
1.0767,0.2715,-0.2664,23.3282,-5.5496,4.3893,0,0_0
1.0806,0.2625,-0.2939,23.5344,-4.5267,0.7405,0,0_0
1.0708,0.2534,-0.3035,20.4275,-4.9466,-3.7786,0,0_0
1.0471,0.2659,-0.2932,19.2214,-5.8702,-6.6336,0,0_0
1.0286,0.2666,-0.2788,19.8397,-6.0000,-8.5344,0,0_0
1.0198,0.2861,-0.2683,21.7634,-4.8244,-10.4962,0,0_0
1.0005,0.2725,-0.2822,23.6870,-4.0992,-11.5954,0,0_0
0.9998,0.2939,-0.3079,24.5420,-2.3130,-13.1374,0,0_0
0.9695,0.2803,-0.3047,24.2214,0.3435,-13.4351,0,0_0
0.9678,0.2793,-0.3040,24.5038,2.2977,-12.1527,0,0_0
0.9753,0.2864,-0.3223,24.1374,2.7634,-11.0305,0,0_0
0.9807,0.2849,-0.3403,23.6183,2.6947,-9.5038,0,0_0
0.9905,0.2817,-0.3533,22.1985,0.2061,-9.7863,0,0_0
0.9897,0.2842,-0.3252,20.9542,-2.3893,-10.6870,0,0_0
0.9885,0.2859,-0.3330,20.5954,-4.1908,-10.0458,0,0_0
0.9919,0.2786,-0.3540,19.4809,-3.7405,-9.2443,0,0_0
0.9856,0.2744,-0.3699,17.2061,-1.4046,-8.4198,0,0_0
0.9888,0.2659,-0.3857,14.2290,1.3817,-7.0382,0,0_0
0.9795,0.2524,-0.3818,10.3359,3.3893,-5.1603,0,0_0
0.9834,0.2534,-0.3804,6.2595,4.2214,-3.7939,0,0_0
0.9668,0.2383,-0.3604,2.4809,5.9695,-1.5420,0,0_0
0.9734,0.2297,-0.3359,-1.3740,6.6183,0.0382,0,0_0
0.9602,0.2231,-0.3096,-3.4198,6.6489,1.7786,0,0_0
0.9670,0.2395,-0.2825,-3.5344,6.8550,2.8550,0,0_0
0.9910,0.2290,-0.2676,-2.6336,5.6794,3.9542,0,0_0
0.9954,0.2329,-0.2549,-1.3206,3.7099,4.3588,0,0_0
1.0093,0.2295,-0.2659,-0.5802,1.4962,3.7481,0,0_0
0.9966,0.2249,-0.2654,0.4962,-0.7405,3.5496,0,0_0
1.0046,0.2275,-0.2673,1.3053,-1.4580,3.1145,0,0_0
1.0078,0.2290,-0.2849,1.4504,-1.3817,2.7099,0,0_0
0.9966,0.2324,-0.2729,2.3969,0.1832,2.9084,0,0_0
0.9976,0.2341,-0.2532,4.3588,1.5420,3.2137,0,0_0
1.0007,0.2437,-0.2566,7.3130,2.1679,2.9313,0,0_0
1.0042,0.2397,-0.2571,10.9924,2.4962,2.0153,0,0_0
1.0078,0.2471,-0.2710,14.8931,2.3511,0.6718,0,0_0
1.0107,0.2524,-0.2861,18.4580,2.5038,-0.2061,0,0_0
1.0088,0.2529,-0.3074,20.7023,2.5267,-3.1221,0,0_0
0.9990,0.2595,-0.3230,21.8550,2.4962,-5.6718,0,0_0
0.9890,0.2649,-0.3545,21.8473,1.6031,-7.2366,0,0_0
0.9766,0.2698,-0.3730,20.9160,1.1603,-7.2443,0,0_0
0.9653,0.2683,-0.3853,19.1908,0.5420,-6.4733,0,0_0
0.9612,0.2729,-0.3899,17.0611,-0.0534,-5.8779,0,0_0
0.9558,0.2744,-0.3928,15.4427,0.3282,-4.8626,0,0_0
0.9639,0.2825,-0.3938,14.0687,0.5344,-3.9237,0,0_0
0.9636,0.2703,-0.4084,12.3359,-0.0840,-2.2366,0,0_0
0.9634,0.2737,-0.4087,10.5573,0.3588,-1.2137,0,0_0
0.9729,0.2678,-0.4075,8.3282,0.7328,-0.6489,0,0_0
0.9714,0.2661,-0.3982,5.7939,1.5878,-0.2824,0,0_0
